feature,importance_mean,importance_std
total_trans_ct,0.22551440329218098,0.010524859000006473
total_revolving_bal,0.027264324153213015,0.0033783032897225754
total_relationship_count,0.024974449418893808,0.001569256468421399
total_ct_chng_q4_q1,0.017261339483561632,0.0017367116632649165
total_amt_chng_q4_q1,0.014396780174557955,0.0015922218127444514
months_inactive_12_mon,0.013365712476823522,0.0020961659945313202
credit_limit,0.013256998145887022,0.0025071442763619296
contacts_count_12_mon,0.007256365034142775,0.0017021554297164058
months_on_book,0.006911952245285569,0.001003619589836366
gender,0.0038757292090624952,0.0011795490936343835
dependent_count,0.002114231447564763,0.0005241526036847061
education_level,0.0008995613440057504,0.00040671092173592306
avg_utilization_ratio,0.0007791796680685304,0.0006014047782412011
Married,0.00067652512096954,0.00023491355288215543
card_category,0.00029141229141225187,0.00020326724582901245
Single,0.00011920589698360962,0.00021584765899281582
Divorced,2.3696468140887995e-05,2.3921852833290835e-05
